,ID,Gender,Certificate,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
1,4217,Male,IB,3,2,3,4,3,4,5,1,3,4,1,5,2,1,1,1,2,3,5
2,4216,Male,IB,1,2,3,2,3,2,3,2,3,2,4,2,3,1,1,1,1,1,1
3,4232,Male,IB,4,5,4,4,5,4,3,3,3,3,3,3,3,3,4,4,4,4,4
4,4233,Male,IB,5,5,5,5,5,5,5,5,4,5,4,5,4,4,3,3,3,4,4
5,4235,Male,IB,5,5,5,5,3,3,2,4,4,5,4,5,4,4,5,5,5,4,4
6,4230,Female,IB,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
7,4420,Male,IB,4,5,4,5,4,3,3,3,3,3,4,3,4,4,5,4,5,5,5
8,4421,Male,IB,5,5,4,5,5,2,1,3,1,1,3,1,1,1,5,3,4,5,2
9,4234,Female,IB,5,3,1,4,2,5,3,1,4,2,5,3,5,3,1,3,2,5,3
10,4219,Male,IB,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11,4229,Female,IB,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12,4236,Male,IB,5,4,5,5,4,5,5,5,5,4,5,1,5,1,5,3,5,5,5
13,4227,Female,IB,,,,,,,,,,,,,,,,,,,
14,4228,Female,IB,5,5,5,5,5,1,1,1,1,1,3,1,5,1,3,4,5,5,5
15,4224,Female,IB,5,5,3,5,5,4,4,3,3,3,5,1,4,1,4,5,5,5,5
16,4226,Female,IB,5,5,5,5,,1,1,5,1,1,1,1,1,1,5,4,5,5,5
17,4225,Female,IB,5,2,5,5,,5,5,1,1,1,4,1,5,2,5,4,5,5,5
18,4254,Female,IGCSE (British),4,5,3,5,4,3,3,1,2,1,4,3,3,4,3,4,5,5,4
19,4267,Female,IGCSE (British),3,5,2,4,5,5,5,1,5,5,3,5,5,1,5,3,5,5,5
20,4255,Female,IGCSE (British),5,5,5,5,3,1,1,1,1,1,3,1,3,1,3,5,5,5,5
21,4261,Female,IGCSE (British),5,4,5,5,4,3,3,3,3,3,4,2,1,3,5,4,5,4,4
22,4246,Male,IGCSE (British),3,3,5,4,4,1,1,1,1,1,3,3,3,3,3,3,5,4,5
23,4251,Female,IGCSE (British),3,4,5,4,5,1,4,2,3,4,3,3,5,4,4,2,3,4,4
24,4241,Male,IGCSE (British),5,5,5,5,5,1,1,1,1,1,3,1,3,3,4,4,5,5,5
25,4247,Male,IGCSE (British),4,5,4,4,5,1,1,1,1,1,3,3,1,1,5,4,5,5,5
26,4256,Female,IGCSE (British),5,5,5,5,5,3,5,3,5,5,5,5,5,5,3,5,5,5,5
27,4253,Female,IGCSE (British),5,4,4,5,5,2,2,3,3,3,5,5,4,4,4,2,5,5,4
28,4263,Female,IGCSE (British),4,4,4,5,4,5,5,4,3,1,5,3,5,2,5,3,5,5,5
29,4244,Male,IGCSE (British),3,4,3,5,4,1,1,4,3,2,5,5,5,4,3,3,5,4,4
30,4252,Female,IGCSE (British),5,4,3,5,5,2,5,3,3,3,3,3,3,3,4,4,4,4,4
31,4257,Female,IGCSE (British),5,4,5,5,4,5,5,5,3,3,5,3,3,2,4,4,5,5,5
32,4264F,Female,IGCSE (British),3,3,3,5,2,1,1,1,1,1,3,1,3,1,5,4,5,5,5
33,4259,Female,IGCSE (British),5,5,5,5,5,4,4,3,3,4,4,4,5,2,5,4,5,5,5
34,4242,Male,IGCSE (British),2,2,5,5,4,3,1,1,3,3,5,4,5,5,3,3,4,3,4
35,4265,Female,IGCSE (British),3,2,3,2,3,3,4,5,3,3,3,4,2,4,3,2,4,3,4
36,4282A,Male,IGCSE (British),2,5,5,5,5,4,5,5,5,5,5,5,1,5,5,5,5,5,5
37,4276,Male,IGCSE (British),5,5,5,5,4,2,1,1,1,1,2,1,1,1,5,4,5,4,5
38,4272,Female,IGCSE (British),5,5,3,5,5,1,1,1,1,1,3,1,3,1,3,1,5,5,3
39,4284,Female,IGCSE (British),3,4,2,3,4,2,1,3,2,2,4,2,2,2,3,4,4,2,2
40,4292F,Female,IGCSE (British),3,5,5,5,5,3,3,2,1,1,4,1,5,5,5,4,5,4,4
41,4280,Male,IGCSE (British),4,5,5,5,5,4,4,5,5,5,5,5,5,5,3,5,5,5,5
42,4294F,Female,IGCSE (British),5,4,5,5,5,2,2,2,1,1,2,1,3,1,5,4,5,4,5
43,4287,Female,IGCSE (British),5,5,5,5,5,3,3,2,1,1,2,2,2,1,2,2,5,5,5
44,4275,Male,IGCSE (British),4,5,5,5,4,2,1,1,3,3,5,2,5,4,5,5,5,5,4
45,4273,Male,IGCSE (British),4,5,5,4,5,4,3,4,1,1,3,1,4,4,5,5,5,5,5
46,4289,Female,IGCSE (British),4,5,4,3,5,5,5,3,5,3,4,5,4,4,3,3,4,3,4
47,4291F,Female,IGCSE (British),4,5,5,5,5,5,4,2,2,2,5,1,5,4,4,3,5,5,4
48,4277,Male,IGCSE (British),3,,3,5,5,2,2,1,1,2,3,3,1,1,4,4,4,4,4
49,4286,Female,IGCSE (British),3,3,3,5,5,1,1,1,1,1,1,1,1,1,3,3,3,3,3
50,4285,Female,IGCSE (British),5,5,5,5,5,3,3,3,3,3,3,3,3,3,4,4,5,4,5
51,4270,Male,IGCSE (British),5,5,3,5,4,5,4,3,5,5,5,5,5,3,4,3,5,4,5
52,4293F,Female,IGCSE (British),3,5,5,5,5,5,3,1,1,2,3,3,5,5,5,3,3,5,5
53,4243,Female,IGCSE (British),3,5,3,5,5,3,1,1,3,1,5,1,5,3,3,3,3,5,5
54,4271,Male,IGCSE (British),5,5,5,5,3,2,2,5,1,1,4,1,3,4,4,4,5,5,5
55,4264,Male,IGCSE (British),4,5,5,5,5,2,2,2,2,2,3,1,4,4,3,2,4,4,5
56,4268,Female,IGCSE (British),3,3,5,3,3,1,5,1,1,1,5,3,3,5,3,1,3,5,5
57,4258,Male,IGCSE (British),5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,5
58,4249,Female,IGCSE (British),5,5,4,5,5,3,3,4,3,3,5,1,3,3,5,4,4,5,5
59,4240,Male,IGCSE (British),3,1,1,3,1,5,3,3,3,3,5,1,5,5,3,3,3,1,3
60,4260,Male,IGCSE (British),5,5,4,4,4,2,2,2,1,1,3,1,4,3,4,3,5,5,5
61,4269,Female,IGCSE (British),4,4,3,5,4,4,4,3,3,3,5,5,5,5,4,3,4,4,5
62,4248,Female,IGCSE (British),5,5,4,5,5,4,2,3,1,1,3,2,3,2,5,4,5,5,4
63,4290,Male,American Diploma,3,4,4,5,4,2,1,1,2,2,3,3,3,3,4,5,5,5,5
64,4283,Male,American Diploma,3,2,2,5,3,2,3,1,1,2,3,4,1,1,2,3,4,5,4
65,4288,Male,American Diploma,4,4,5,5,4,2,1,1,2,1,5,3,3,2,4,5,4,5,5
66,4321,Female,IGCSE (British),3,3,5,5,3,1,1,1,1,1,3,1,3,1,3,3,5,5,3
67,4300,Female,IGCSE (British),3,5,5,5,4,1,1,3,3,2,1,1,2,2,4,3,5,5,5
68,4304,Male,IGCSE (British),5,5,4,4,5,4,2,4,3,4,5,5,4,3,5,3,4,3,3
69,4303,Female,IGCSE (British),5,3,5,3,3,3,2,2,3,3,5,4,5,5,3,3,5,4,5
70,4312,Male,National,3,3,3,4,4,4,4,2,5,3,2,3,3,2,2,1,4,3,3
71,4322,Female,IGCSE (British),4,3,5,4,5,4,2,1,1,2,5,4,4,3,3,4,3,4,3
72,4313,Female,IGCSE (British),3,2,4,5,2,1,2,2,2,2,3,1,2,3,4,3,3,4,2
73,4315,Male,IGCSE (British),5,5,5,5,5,3,5,1,1,1,5,1,2,3,5,5,5,5,5
74,4319,Female,IGCSE (British),4,5,5,4,5,5,3,4,5,4,5,2,5,5,4,3,4,4,4
75,4318,Female,IGCSE (British),3,,,,,,,,,,,,,,,,,,
76,4296,Female,IGCSE (British),3,3,1,5,3,3,5,3,5,3,5,1,5,1,3,3,3,5,3
77,4308,Female,IGCSE (British),5,5,4,5,5,3,3,2,3,5,5,5,5,3,3,3,3,4,3
78,4036,Male,IGCSE (British),3,3,3,4,2,1,3,2,3,3,2,2,3,2,3,4,2,4,3
79,4307,Female,IGCSE (British),5,5,4,4,5,3,3,3,3,3,3,1,3,2,4,4,5,5,5
80,4301,Female,IGCSE (British),5,5,3,5,5,5,4,3,2,2,5,1,5,5,5,5,5,5,5
81,4294,Male,IGCSE (British),3,5,2,4,3,5,5,1,5,5,5,5,5,5,3,2,3,3,5
82,4299,Male,IGCSE (British),4,3,4,5,4,5,5,3,5,4,5,4,4,4,4,4,5,5,5
83,4309,Male,IGCSE (British),5,5,5,5,5,1,3,5,1,1,5,1,1,4,5,5,5,5,5
