"","ID","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24"
"1","4217","The density of a substance cannot change","mass/volume","Agree","Because the density can always change even if the pressure or temperature is constant","Smaller than","it has the same volume as the original block","4","Not sure","","Half the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, but same density of the original block","The blocks will float","I am not sure","Another answer?","","Same density"
"2","4216","A substance can not change","mass/volume","Agree","Because density is a property of the matter, and it can never change","Bigger than","it has half the volume of the original block","Bigger than","Agree","Because what determines if an object will sink or float is the volume (how big it is)","Twice the density of 1 kg of wood","it has half the mass of the original block","it has twice the density of the original block","It has half the volume, but same density of the original block","I am not sure","I am not sure","Volume only","","More dense"
"3","4232","its a measuring unit and it formula is mass and volume","mass/volume","Disagree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Bigger than","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has the same mass as the original block","it has twice the density of the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will sink","Mass only","","Same density"
"4","4233","it is mass divided volume","mass/volume","Agree","Because density is a property of the matter, and it can never change","Bigger than","it has half the volume of the original block","Same as","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has twice the mass of the original block","it has the same density as the original block","it has the same volume, but half the density of the original block","The blocks will sink","The 2 blocks will sink","Density","","Same density"
"5","4235","","","","","Smaller than","","","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","","","","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","","",""
"6","4230","the degree of compactness of a substance.","volume/mass","Not sure","","Same as","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","","it has the same volume, but half the density of the original block","The blocks will float","","Another answer?","","Less dense"
"7","4420","The density of an object is the mass multiplied by its mass. It is the weight of the object (if I remember properly)","mass X volume","Agree","Because density is a property of the matter, and it can never change","Bigger than","it has half the volume of the original block","Same as","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will float","The 2 blocks will sink","Density","","More dense"
"8","4421","","","","","Bigger than","it has half the volume of the original block","4","Agree","","","","","","","","","","Same density"
"9","4234","","volume/mass","Agree","Because density is a property of the matter, and it can never change","Same as","it has twice the volume of the original block","Same as","Disagree","Because what determines if an object will sink or float is the weight of the object","The same density as 1 kg of wood","it has half the mass of the original block","it has twice the density of the original block","it has the same volume, but half the density of the original block","The blocks will float","The 2 blocks will float","Another answer?","","Same density"
"10","4219","","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Bigger than","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the volume (how big it is)","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will sink","I am not sure","Density","","Same density"
"11","4229","denisty is when the substace's every  mass measured by unit volume ","mass/volume","Disagree","Because density is a property of the matter, and it can never change","Same as","it has half the volume of the original block","Bigger than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will sink","The 2 blocks will sink","Density","","Less dense"
"12","4236","the mss of an object ","mass X volume","Disagree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has the same volume as the original block","Same as","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Half the density of 1 kg of wood","it has the same mass as the original block","it has the same density as the original block","it has the same volume, but half the density of the original block","The blocks will float","The 2 blocks will float","Density","","Same density"
"13","4227","Density is a measure of mass per volume","mass X volume","Agree","Because density is a property of the matter, and it can never change","Bigger than","it has the same volume as the original block","4","Agree","Because what determines if an object will sink or float is the volume (how big it is)","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","","","","","",""
"14","4228","Density is a measurement that compares the amount of matter an object has to its volume. An object with much matter in a certain volume has high density An object with little matter in the same amount of volume has a low density. Density is found by dividing the mass of an object by its volume.","mass/volume","Disagree","Because density is a property of the matter, and it can never change","Same as","it has half the volume of the original block","Bigger than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has twice the mass of the original block","it has twice the density of the original block","it has the same volume, but half the density of the original block","The blocks will float","The 2 blocks will sink","Density","","Less dense"
"15","4224"," ","","","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","","it has half the volume of the original block","","Agree","","","","","","I am not sure","The 2 blocks will sink","Mass only","","More dense"
"16","4226","","volume/mass","","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has twice the volume of the original block","Bigger than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has twice the mass of the original block","it has the same density as the original block","It has half the volume, and half the density of the original block","The blocks will sink","","","",""
"17","4225","","","","","Bigger than","it has twice the volume of the original block","","Agree","Because what determines if an object will sink or float is the weight of the object","","it has twice the mass of the original block","","It has half the volume, and half the density of the original block","","","Another answer?","","Less dense"
"18","4254","Denisty equal mass over volume ","mass/volume","Not sure","","Smaller than","it has the same volume as the original block","Same as","Not sure","","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","it has the same volume, but half the density of the original block","The blocks will float","The 2 blocks will sink","Another answer?","","More dense"
"19","4267","how much space an object or substance takes up","mass/volume","Not sure","","Bigger than","it has half the volume of the original block","Smaller than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","I am not sure","Density","","Same density"
"20","4255","Density is how heavy an object is for its size ","mass/volume","Agree","Because density is a property of the matter, and it can never change","Same as","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Another answer?","","Same density"
"21","4261","how solid is a substance is or the compact of the substance","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","","Less dense"
"22","4246","the amount of weight in a certain size","mass/volume","Agree","Because density is a property of the matter, and it can never change","Same as","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will sink","Density","","Same density"
"23","4251","","mass X volume","Not sure","","Smaller than","it has half the volume of the original block","Smaller than","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has the same mass as the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will float","The 2 blocks will sink","Mass only","",""
