"","X.1","X","U_ID","StartDate","Finished","ID","Picture","Color","Gender","Day","Month","Year","Certificate","QID93","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25_First.Click","Q25_Last.Click","Q25_Page.Submit","Q25_Click.Count","Q27_1","Q27_2","Q27_3","Q27_4","Q27_5","Q27_6","Q27_7","Q27_8","Q27_9","Q27_10","Q27_11","Q27_12","Q27_13","Q27_14","Q27_15","Q27_16","Q27_17","Q27_18","Q27_19","Score"
"1",1,1,"A2","10/03/2020 02:52",TRUE,"4217","Blue Ant","Blue","Male",5,6,2007,"IB","","The density of a substance cannot change","mass/volume","Agree","Because the density can always change even if the pressure or temperature is constant","Smaller than","it has the same volume as the original block","4","Not sure","","Half the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, but same density of the original block","The blocks will float","I am not sure","Another answer?","","Same density",1.531,1.531,2.442,1,"3: Somewhat true","2","3: Somewhat true","4","3: Somewhat true","4","5: Very true","1: Not at all true","3: Somewhat true","4","1: Not at all true","5: Very true","2","1: Not at all true","1: Not at all true","1: Not at all true","2","3: Somewhat true","5: Very true",4
"2",2,2,"A3","10/03/2020 03:51",TRUE,"4216","Blue Airplans","Blue","Male",20,5,2007,"IB","","A substance can not change","mass/volume","Agree","Because density is a property of the matter, and it can never change","Bigger than","it has half the volume of the original block","Bigger than","Agree","Because what determines if an object will sink or float is the volume (how big it is)","Twice the density of 1 kg of wood","it has half the mass of the original block","it has twice the density of the original block","It has half the volume, but same density of the original block","I am not sure","I am not sure","Volume only","","More dense",1.333,2.284,2.607,2,"1: Not at all true","2","3: Somewhat true","2","3: Somewhat true","2","3: Somewhat true","2","3: Somewhat true","2","4","2","3: Somewhat true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true",5
"3",3,3,"A4","10/03/2020 02:47",TRUE,"4232","crocodie ","blue ","Male",17,9,2006,"IB","","its a measuring unit and it formula is mass and volume","mass/volume","Disagree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Bigger than","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has the same mass as the original block","it has twice the density of the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will sink","Mass only","","Same density",7.704,15.789,16.973,4,"4","5: Very true","4","4","5: Very true","4","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","4","4","4","4","4",7
"4",4,4,"A5","10/03/2020 02:49",TRUE,"4233"," deer","blue","Male",2,6,2007,"IB","","it is mass divided volume","mass/volume","Agree","Because density is a property of the matter, and it can never change","Bigger than","it has half the volume of the original block","Same as","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has twice the mass of the original block","it has the same density as the original block","it has the same volume, but half the density of the original block","The blocks will sink","The 2 blocks will sink","Density","","Same density",106.544,107.352,108.508,2,"5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","4","5: Very true","4","5: Very true","4","4","3: Somewhat true","3: Somewhat true","3: Somewhat true","4","4",9
"5",5,5,"A6","10/03/2020 03:46",TRUE,"4235"," DOLPHIN","BLUE","Male",15,4,2007,"IB","","","","","","Smaller than","","","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","","","","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","","","",0,0,5.131,0,"5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","2","4","4","5: Very true","4","5: Very true","4","4","5: Very true","5: Very true","5: Very true","4","4",5
"6",6,6,"A7","10/03/2020 03:53",TRUE,"4230","Blue cobra","Blue","Female",14,11,2006,"IB","","the degree of compactness of a substance.","volume/mass","Not sure","","Same as","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","","it has the same volume, but half the density of the original block","The blocks will float","","Another answer?","","Less dense",0.791,1.657,1.948,3,"1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true",7
"7",7,7,"A8","10/03/2020 03:47",TRUE,"4420","Blue Bear","Blue","Male",22,3,2008,"IB","","The density of an object is the mass multiplied by its mass. It is the weight of the object (if I remember properly)","mass X volume","Agree","Because density is a property of the matter, and it can never change","Bigger than","it has half the volume of the original block","Same as","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will float","The 2 blocks will sink","Density","","More dense",11.185,11.185,12.251,1,"4","5: Very true","4","5: Very true","4","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","4","3: Somewhat true","4","4","5: Very true","4","5: Very true","5: Very true","5: Very true",7
"8",8,8,"A9","10/03/2020 02:56",TRUE,"4421","Blue Bicycle","Bicycle","Male",11,5,2007,"IB","","","","","","Bigger than","it has half the volume of the original block","4","Agree","","","","","","","","","","Same density",6.856,6.856,7.735,1,"5: Very true","5: Very true","4","5: Very true","5: Very true","2","1: Not at all true","3: Somewhat true","1: Not at all true","1: Not at all true","3: Somewhat true","1: Not at all true","1: Not at all true","1: Not at all true","5: Very true","3: Somewhat true","4","5: Very true","2",1
"9",9,9,"A10","10/03/2020 02:51",TRUE,"4234"," Dog","Blue","Female",18,12,2005,"IB","","","volume/mass","Agree","Because density is a property of the matter, and it can never change","Same as","it has twice the volume of the original block","Same as","Disagree","Because what determines if an object will sink or float is the weight of the object","The same density as 1 kg of wood","it has half the mass of the original block","it has twice the density of the original block","it has the same volume, but half the density of the original block","The blocks will float","The 2 blocks will float","Another answer?","","Same density",2.717,22.726,24.939,18,"5: Very true","3: Somewhat true","1: Not at all true","4","2","5: Very true","3: Somewhat true","1: Not at all true","4","2","5: Very true","3: Somewhat true","5: Very true","3: Somewhat true","1: Not at all true","3: Somewhat true","2","5: Very true","3: Somewhat true",7
"10",10,10,"A11","10/03/2020 02:55",TRUE,"4219","Blue Bat","blue","Male",25,1,2007,"IB","","","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Bigger than","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the volume (how big it is)","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will sink","I am not sure","Density","","Same density",9.314,9.314,10.739,1,"5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true",8
