StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5#1_1,Q5#2_1,Q5#3_1,Q6,QID93,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25_First Click,Q25_Last Click,Q25_Page Submit,Q25_Click Count,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q27_10,Q27_11,Q27_12,Q27_13,Q27_14,Q27_15,Q27_16,Q27_17,Q27_18,Q27_19,SC0,Q7 - Parent Topics,Q7 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your ID number,What is your picture ID?,What is the colour of your picture ID?,Please select your gender,What is your date of birth? - Day - Please select your date of birth from the menu,What is your date of birth? - Month - Please select your date of birth from the menu,What is your date of birth? - Year - Please select your date of birth from the menu,Which certificate are you studying?,Please state your certificate,Please define density in your own words,The formula for calculating density is -------,The density of a substance cannot change (at the same temperature and pressure),Please explain your answer to the previous question,The density of 1 kg of aluminium  is ...  the density of 10 kg of aluminium,"What happens to the volume of a block of wood when you cut into two halves, and examine one of these halves?",The density of 2L cube of wood is .... the density of 200L cube of the same wood,"Heavy things will always sink, and light things will always float in water.",Please explain your answer to the previous question,The density of 2 kg of wood is:,What happens to the mass of an object when you cut it in half and examine one of these halves?,What happens to the density of an object when you cut it in half and examine one of these halves?,"If you cut a block of wood into two halves, how can you describe one of these halves:","When you throw a 5 kg block of material (X) in water it sinks, what would happen if you cut this same block into smaller blocks of 1 kg and threw them in water?","When you throw a 2 kg of wood in water it floats. If you attached this block to another block of the same wood weighing 4 kg (to have a total of 6 kg) and throw them in water, what would happen?",What determines if the object will sink or float,Please explain:,"When mercury rises in a thermometer, it becomes -------- compared to its state before it rose",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,HERE ARE SOME QUESTIONS ABOUT YOURSELF AS A STUDENT IN SCIENCE CLASS. PLEASE CHOOSE THE NUMBER THAT BEST DESCRIBES WHAT YOU THINK. PLEASE NOTE THAT THERE ARE NO RIGHT OR WRONG ANSWERS. - It’s important to me that I learn a lot of new science concepts this year.,HERE ARE SOME QUESTIONS ABOUT YOURSELF AS A STUDENT IN SCIENCE CLASS. PLEASE CHOOSE THE NUMBER THAT BEST DESCRIBES WHAT YOU THINK. PLEASE NOTE THAT THERE ARE NO RIGHT OR WRONG ANSWERS. - One of my goals in my science lessons is to learn as much as I can.,HERE ARE SOME QUESTIONS ABOUT YOURSELF AS A STUDENT IN SCIENCE CLASS. PLEASE CHOOSE THE NUMBER THAT BEST DESCRIBES WHAT YOU THINK. PLEASE NOTE THAT THERE ARE NO RIGHT OR WRONG ANSWERS. - One of my goals in science class is to master a lot of new skills this,HERE ARE SOME QUESTIONS ABOUT YOURSELF AS A STUDENT IN SCIENCE CLASS. PLEASE CHOOSE THE NUMBER THAT BEST DESCRIBES WHAT YOU THINK. PLEASE NOTE THAT THERE ARE NO RIGHT OR WRONG ANSWERS. - It’s important to me that I completely understand my science lessons,HERE ARE SOME QUESTIONS ABOUT YOURSELF AS A STUDENT IN SCIENCE CLASS. PLEASE CHOOSE THE NUMBER THAT BEST DESCRIBES WHAT YOU THINK. PLEASE NOTE THAT THERE ARE NO RIGHT OR WRONG ANSWERS. - It’s important to me that I improve my science skills this year.,HERE ARE SOME QUESTIONS ABOUT YOURSELF AS A STUDENT IN SCIENCE CLASS. PLEASE CHOOSE THE NUMBER THAT BEST DESCRIBES WHAT YOU THINK. PLEASE NOTE THAT THERE ARE NO RIGHT OR WRONG ANSWERS. - It’s important to me that other pupils in my class think I am good at my science work.,HERE ARE SOME QUESTIONS ABOUT YOURSELF AS A STUDENT IN SCIENCE CLASS. PLEASE CHOOSE THE NUMBER THAT BEST DESCRIBES WHAT YOU THINK. PLEASE NOTE THAT THERE ARE NO RIGHT OR WRONG ANSWERS. - One of my goals in science is to show others that I’m good at my science work.,HERE ARE SOME QUESTIONS ABOUT YOURSELF AS A STUDENT IN SCIENCE CLASS. PLEASE CHOOSE THE NUMBER THAT BEST DESCRIBES WHAT YOU THINK. PLEASE NOTE THAT THERE ARE NO RIGHT OR WRONG ANSWERS. - One of my goals in science is to show others that science work is easy for me.,HERE ARE SOME QUESTIONS ABOUT YOURSELF AS A STUDENT IN SCIENCE CLASS. PLEASE CHOOSE THE NUMBER THAT BEST DESCRIBES WHAT YOU THINK. PLEASE NOTE THAT THERE ARE NO RIGHT OR WRONG ANSWERS. - One of my goals in science is to look smart in comparison to the other pupils in my class.,HERE ARE SOME QUESTIONS ABOUT YOURSELF AS A STUDENT IN SCIENCE CLASS. PLEASE CHOOSE THE NUMBER THAT BEST DESCRIBES WHAT YOU THINK. PLEASE NOTE THAT THERE ARE NO RIGHT OR WRONG ANSWERS. - It’s important to me that I look smart compared to others in my science class.,HERE ARE SOME QUESTIONS ABOUT YOURSELF AS A STUDENT IN SCIENCE CLASS. PLEASE CHOOSE THE NUMBER THAT BEST DESCRIBES WHAT YOU THINK. PLEASE NOTE THAT THERE ARE NO RIGHT OR WRONG ANSWERS. - It’s important to me that I don’t look stupid in my science class,HERE ARE SOME QUESTIONS ABOUT YOURSELF AS A STUDENT IN SCIENCE CLASS. PLEASE CHOOSE THE NUMBER THAT BEST DESCRIBES WHAT YOU THINK. PLEASE NOTE THAT THERE ARE NO RIGHT OR WRONG ANSWERS. - One of my goals in science is to keep others from thinking I’m not smart at science.,HERE ARE SOME QUESTIONS ABOUT YOURSELF AS A STUDENT IN SCIENCE CLASS. PLEASE CHOOSE THE NUMBER THAT BEST DESCRIBES WHAT YOU THINK. PLEASE NOTE THAT THERE ARE NO RIGHT OR WRONG ANSWERS. - It’s important to me that my science teacher doesn’t think that I know less than others.,HERE ARE SOME QUESTIONS ABOUT YOURSELF AS A STUDENT IN SCIENCE CLASS. PLEASE CHOOSE THE NUMBER THAT BEST DESCRIBES WHAT YOU THINK. PLEASE NOTE THAT THERE ARE NO RIGHT OR WRONG ANSWERS. - One of my goals in my science lessons is to avoid looking like I have trouble doing the work.,HERE ARE SOME QUESTIONS ABOUT YOURSELF AS A STUDENT IN SCIENCE CLASS. PLEASE CHOOSE THE NUMBER THAT BEST DESCRIBES WHAT YOU THINK. PLEASE NOTE THAT THERE ARE NO RIGHT OR WRONG ANSWERS. - I'm certain I can master the skills taught in my science class this year.,HERE ARE SOME QUESTIONS ABOUT YOURSELF AS A STUDENT IN SCIENCE CLASS. PLEASE CHOOSE THE NUMBER THAT BEST DESCRIBES WHAT YOU THINK. PLEASE NOTE THAT THERE ARE NO RIGHT OR WRONG ANSWERS. - I'm certain I can figure out how to do the most difficult science work,HERE ARE SOME QUESTIONS ABOUT YOURSELF AS A STUDENT IN SCIENCE CLASS. PLEASE CHOOSE THE NUMBER THAT BEST DESCRIBES WHAT YOU THINK. PLEASE NOTE THAT THERE ARE NO RIGHT OR WRONG ANSWERS. - I can do almost all the work in my science lessons if I don't give up.,"HERE ARE SOME QUESTIONS ABOUT YOURSELF AS A STUDENT IN SCIENCE CLASS. PLEASE CHOOSE THE NUMBER THAT BEST DESCRIBES WHAT YOU THINK. PLEASE NOTE THAT THERE ARE NO RIGHT OR WRONG ANSWERS. - Even if the science work is hard, I can learn it.",HERE ARE SOME QUESTIONS ABOUT YOURSELF AS A STUDENT IN SCIENCE CLASS. PLEASE CHOOSE THE NUMBER THAT BEST DESCRIBES WHAT YOU THINK. PLEASE NOTE THAT THERE ARE NO RIGHT OR WRONG ANSWERS. - I can do even the hardest work in science lessons if I try.,Score,Q7 - Parent Topics,Q7 - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID63_TEXT""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID61""}","{""ImportId"":""QID69#1_1""}","{""ImportId"":""QID69#2_1""}","{""ImportId"":""QID69#3_1""}","{""ImportId"":""QID60""}","{""ImportId"":""QID93_TEXT""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID89""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID75""}","{""ImportId"":""QID74""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86_TEXT""}","{""ImportId"":""QID87""}","{""ImportId"":""QID91_FIRST_CLICK""}","{""ImportId"":""QID91_LAST_CLICK""}","{""ImportId"":""QID91_PAGE_SUBMIT""}","{""ImportId"":""QID91_CLICK_COUNT""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID56_2""}","{""ImportId"":""QID56_3""}","{""ImportId"":""QID56_4""}","{""ImportId"":""QID56_5""}","{""ImportId"":""QID56_6""}","{""ImportId"":""QID56_7""}","{""ImportId"":""QID56_8""}","{""ImportId"":""QID56_9""}","{""ImportId"":""QID56_10""}","{""ImportId"":""QID56_11""}","{""ImportId"":""QID56_12""}","{""ImportId"":""QID56_13""}","{""ImportId"":""QID56_14""}","{""ImportId"":""QID56_15""}","{""ImportId"":""QID56_16""}","{""ImportId"":""QID56_17""}","{""ImportId"":""QID56_18""}","{""ImportId"":""QID56_19""}","{""ImportId"":""SC_0fAwkBZeO3KAyHj""}","{""ImportId"":""QID70_TEXT_985044b8581848a0b4fcba6cParTopics""}","{""ImportId"":""QID70_TEXT_985044b8581848a0b4fcba6cTopics""}"
2020-03-09 19:05:20,2020-03-09 19:07:33,Survey Preview,,100,132,True,2020-03-09 19:07:33,R_2zXP1PcjJmRKZoj,,,,,30.0778045654296875,31.2852020263671875,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3: Somewhat true,,,3: Somewhat true,,4,,,,4,,,,,,,,,,0,,
2020-03-10 02:52:52,2020-03-10 03:54:12,IP Address,197.50.65.174,100,3679,True,2020-03-10 03:54:12,R_12fBzj4OFHPKXPr,,,,,30.0778045654296875,31.2852020263671875,anonymous,EN,4217,Blue Ant,Blue,Male,5,06,2007,IB,,The density of a substance cannot change,mass/volume,Agree,Because the density can always change even if the pressure or temperature is constant,Smaller than,it has the same volume as the original block,4,Not sure,,Half the density of 1 kg of wood,it has half the mass of the original block,it has half the density of the original block,"It has half the volume, but same density of the original block",The blocks will float,I am not sure,Another answer?,,Same density,1.531,1.531,2.442,1,3: Somewhat true,2,3: Somewhat true,4,3: Somewhat true,4,5: Very true,1: Not at all true,3: Somewhat true,4,1: Not at all true,5: Very true,2,1: Not at all true,1: Not at all true,1: Not at all true,2,3: Somewhat true,5: Very true,4,,Unknown
2020-03-10 03:51:29,2020-03-10 03:54:44,IP Address,197.50.65.174,100,195,True,2020-03-10 03:54:45,R_wLYamx6pEu3c0sp,,,,,30.0778045654296875,31.2852020263671875,anonymous,EN,4216,Blue Airplans,Blue,Male,20,05,2007,IB,,A substance can not change,mass/volume,Agree,"Because density is a property of the matter, and it can never change",Bigger than,it has half the volume of the original block,Bigger than,Agree,Because what determines if an object will sink or float is the volume (how big it is),Twice the density of 1 kg of wood,it has half the mass of the original block,it has twice the density of the original block,"It has half the volume, but same density of the original block",I am not sure,I am not sure,Volume only,,More dense,1.333,2.284,2.607,2,1: Not at all true,2,3: Somewhat true,2,3: Somewhat true,2,3: Somewhat true,2,3: Somewhat true,2,4,2,3: Somewhat true,1: Not at all true,1: Not at all true,1: Not at all true,1: Not at all true,1: Not at all true,1: Not at all true,5,,Unknown
2020-03-10 02:47:53,2020-03-10 03:55:02,IP Address,156.213.220.87,100,4028,True,2020-03-10 03:55:02,R_1ghA2VaWGxDjIHH,,,,,30.0778045654296875,31.2852020263671875,anonymous,EN,4232,"crocodie ","blue ",Male,17,09,2006,IB,,its a measuring unit and it formula is mass and volume,mass/volume,Disagree,"Because density is a property of the matter, and it can change only if we changed the temperature or pressure",Bigger than,it has half the volume of the original block,Same as,Agree,Because what determines if an object will sink or float is the density of the object compared to the density of water.,Twice the density of 1 kg of wood,it has the same mass as the original block,it has twice the density of the original block,"It has half the volume, but same density of the original block",The blocks will sink,The 2 blocks will sink,Mass only,,Same density,7.704,15.789,16.973,4,4,5: Very true,4,4,5: Very true,4,3: Somewhat true,3: Somewhat true,3: Somewhat true,3: Somewhat true,3: Somewhat true,3: Somewhat true,3: Somewhat true,3: Somewhat true,4,4,4,4,4,7,,Unknown
2020-03-10 02:49:08,2020-03-10 03:55:56,IP Address,197.50.65.174,100,4008,True,2020-03-10 03:55:56,R_2tnz8azbF1aUBGA,,,,,30.0778045654296875,31.2852020263671875,anonymous,EN,4233," deer",blue,Male,2,06,2007,IB,,it is mass divided volume,mass/volume,Agree,"Because density is a property of the matter, and it can never change",Bigger than,it has half the volume of the original block,Same as,Disagree,Because what determines if an object will sink or float is the density of the object compared to the density of water.,Twice the density of 1 kg of wood,it has twice the mass of the original block,it has the same density as the original block,"it has the same volume, but half the density of the original block",The blocks will sink,The 2 blocks will sink,Density,,Same density,106.544,107.352,108.508,2,5: Very true,5: Very true,5: Very true,5: Very true,5: Very true,5: Very true,5: Very true,5: Very true,4,5: Very true,4,5: Very true,4,4,3: Somewhat true,3: Somewhat true,3: Somewhat true,4,4,9,,Unknown
2020-03-10 03:46:25,2020-03-10 03:56:03,IP Address,197.50.65.174,100,578,True,2020-03-10 03:56:04,R_3hme4d0rg75JIH4,,,,,30.0778045654296875,31.2852020263671875,anonymous,EN,4235," DOLPHIN",BLUE,Male,15,04,2007,IB,,,,,,Smaller than,,,Disagree,Because what determines if an object will sink or float is the density of the object compared to the density of water.,,,,"It has half the volume, but same density of the original block",The blocks will sink,The 2 blocks will float,,,,0,0,5.131,0,5: Very true,5: Very true,5: Very true,5: Very true,3: Somewhat true,3: Somewhat true,2,4,4,5: Very true,4,5: Very true,4,4,5: Very true,5: Very true,5: Very true,4,4,5,,
2020-03-10 03:53:01,2020-03-10 03:56:05,IP Address,197.50.65.174,100,183,True,2020-03-10 03:56:05,R_ZwKwtIwGczaRkiJ,,,,,30.0778045654296875,31.2852020263671875,anonymous,EN,4230,Blue cobra,Blue,Female,14,11,2006,IB,,the degree of compactness of a substance.,volume/mass,Not sure,,Same as,it has half the volume of the original block,Same as,Agree,Because what determines if an object will sink or float is the density of the object compared to the density of water.,The same density as 1 kg of wood,it has half the mass of the original block,,"it has the same volume, but half the density of the original block",The blocks will float,,Another answer?,,Less dense,0.791,1.657,1.948,3,1: Not at all true,1: Not at all true,1: Not at all true,1: Not at all true,1: Not at all true,1: Not at all true,1: Not at all true,5: Very true,5: Very true,5: Very true,5: Very true,5: Very true,5: Very true,5: Very true,5: Very true,5: Very true,5: Very true,5: Very true,5: Very true,7,,Unknown
2020-03-10 03:47:14,2020-03-10 03:56:06,IP Address,197.50.65.174,100,532,True,2020-03-10 03:56:07,R_2PcxIYR5S4U1Iod,,,,,30.0778045654296875,31.2852020263671875,anonymous,EN,4420,Blue Bear,Blue,Male,22,03,2008,IB,,The density of an object is the mass multiplied by its mass. It is the weight of the object (if I remember properly),mass X volume,Agree,"Because density is a property of the matter, and it can never change",Bigger than,it has half the volume of the original block,Same as,Disagree,Because what determines if an object will sink or float is the density of the object compared to the density of water.,Twice the density of 1 kg of wood,it has half the mass of the original block,it has half the density of the original block,"It has half the volume, and half the density of the original block",The blocks will float,The 2 blocks will sink,Density,,More dense,11.185,11.185,12.251,1,4,5: Very true,4,5: Very true,4,3: Somewhat true,3: Somewhat true,3: Somewhat true,3: Somewhat true,3: Somewhat true,4,3: Somewhat true,4,4,5: Very true,4,5: Very true,5: Very true,5: Very true,7,,Unknown
